1963.00	19.49
1963.08	21.89
1963.17	20.49
1963.25	22.91
1963.33	21.14
1963.42	18.46
1963.50	17.50
1963.58	18.24
1963.67	20.67
1963.75	22.97
1963.83	24.91
1963.92	23.12
1964.00	22.00
1964.08	20.51
1964.17	21.48
1964.25	21.51
1964.33	21.27
1964.42	19.01
1964.50	17.82
1964.58	17.36
1964.67	19.47
1964.75	21.31
1964.83	20.12
1964.92	19.80
1965.00	20.44
1965.08	20.30
1965.17	21.02
1965.25	20.35
1965.33	20.50
1965.42	20.02
1965.50	18.32
1965.58	18.20
1965.67	20.51
1965.75	22.57
1965.83	20.32
1965.92	20.89
1966.00	21.41
1966.08	20.99
1966.17	21.01
1966.25	21.01
1966.33	20.13
1966.42	19.12
1966.50	17.86
1966.58	17.96
1966.67	20.01
1966.75	21.10
1966.83	21.69
1966.92	20.80
1967.00	21.15
1967.08	21.51
1967.17	21.32
1967.25	21.22
1967.33	20.44
1967.42	19.24
1967.50	18.66
1967.58	18.35
1967.67	20.19
1967.75	22.27
1967.83	22.34
1967.92	20.54
1968.00	20.36
1968.08	21.35
1968.17	19.36
1968.25	21.19
1968.33	20.25
1968.42	17.68
1968.50	16.57
1968.58	17.11
1968.67	18.97
1968.75	20.52
1968.83	21.71
1968.92	21.55
1969.00	20.20
1969.08	21.83
1969.17	21.92
1969.25	21.73
1969.33	21.35
1969.42	19.38
1969.50	18.45
1969.58	18.52
1969.67	21.18
1969.75	22.87
1969.83	21.76
1969.92	21.25
1970.00	19.98
1970.08	20.85
1970.17	20.85
1970.25	21.48
1970.33	20.32
1970.42	19.93
1970.50	19.45
1970.58	18.08
1970.67	19.44
1970.75	21.53
1970.83	21.44
1970.92	21.29
1971.00	21.76
1971.08	21.88
1971.17	21.31
1971.25	21.65
1971.33	21.11
1971.42	19.75
1971.50	19.36
1971.58	18.71
1971.67	19.68
1971.75	20.38
1971.83	19.69
1971.92	19.83
1972.00	20.74
1972.08	21.41
1972.17	20.96
1972.25	21.55
1972.33	19.96
1972.42	19.65
1972.50	19.18
1972.58	19.37
1972.67	21.27
1972.75	21.74
1972.83	22.02
1972.92	21.68
1973.00	21.57
1973.08	22.53
1973.17	22.12
1973.25	21.88
1973.33	21.84
1973.42	20.13
1973.50	20.41
1973.58	19.00
1973.67	22.00
1973.75	22.03
1973.83	20.48
1973.92	20.99
1974.00	21.32
1974.08	21.26
1974.17	21.50
1974.25	20.38
1974.33	20.97
1974.42	19.50
1974.50	18.69
1974.58	17.59
1974.67	20.19
1974.75	22.75
1974.83	21.38
1974.92	21.48
1975.00	20.73
1975.08	21.20
1975.17	21.52
1975.25	22.16
1975.33	20.32
1975.42	18.99
1975.50	18.43
1975.58	17.20
1975.67	20.17
1975.75	21.84
1975.83	21.51
1975.92	20.90
1976.00	21.14
1976.08	21.58
1976.17	20.94
1976.25	21.01
1976.33	21.04
1976.42	19.83
1976.50	19.04
1976.58	18.39
1976.67	20.94
1976.75	20.80
1976.83	20.56
1976.92	20.03
1977.00	20.67
1977.08	20.68
1977.17	21.49
1977.25	22.68
1977.33	21.06
1977.42	18.88
1977.50	19.03
1977.58	19.29
1977.67	21.78
1977.75	21.42
1977.83	21.98
1977.92	21.52
1978.00	21.31
1978.08	21.58
1978.17	21.00
1978.25	20.94
1978.33	20.25
1978.42	19.61
1978.50	17.83
1978.58	18.53
1978.67	19.42
1978.75	21.04
1978.83	21.54
1978.92	20.89
1979.00	20.75
1979.08	20.45
1979.17	21.05
1979.25	21.18
1979.33	20.59
1979.42	19.77
1979.50	17.45
1979.58	18.38
1979.67	20.69
1979.75	21.57
1979.83	22.42
1979.92	21.05
1980.00	21.62
1980.08	20.51
1980.17	20.33
1980.25	21.64
1980.33	20.37
1980.42	19.65
1980.50	18.41
1980.58	19.15
1980.67	21.10
1980.75	21.65
1980.83	23.03
1980.92	20.98
1981.00	20.66
1981.08	20.94
1981.17	21.91
1981.25	21.57
1981.33	20.48
1981.42	18.96
1981.50	17.84
1981.58	17.09
1981.67	19.96
1981.75	22.52
1981.83	20.55
1981.92	20.76
1982.00	21.40
1982.08	20.09
1982.17	21.55
1982.25	21.12
1982.33	19.69
1982.42	18.62
1982.50	19.36
1982.58	18.89
1982.67	20.36
1982.75	21.31
1982.83	21.71
1982.92	22.12
1983.00	20.87
1983.08	20.66
1983.17	21.23
1983.25	20.94
1983.33	21.30
1983.42	20.25
1983.50	19.51
1983.58	19.76
1983.67	20.24
1983.75	22.70
1983.83	20.89
1983.92	20.72
1984.00	20.31
1984.08	21.69
1984.17	21.85
1984.25	21.56
1984.33	20.80
1984.42	20.95
1984.50	19.28
1984.58	19.01
1984.67	19.99
1984.75	20.18
1984.83	21.70
1984.92	21.81
1985.00	21.48
1985.08	19.96
1985.17	22.03
1985.25	21.44
1985.33	20.74
1985.42	20.21
1985.50	16.97
1985.58	17.53
1985.67	20.58
1985.75	21.59
1985.83	21.19
1985.92	21.08
1986.00	20.91
1986.08	21.22
1986.17	21.35
1986.25	21.67
1986.33	21.78
1986.42	20.86
1986.50	18.24
1986.58	18.77
1986.67	20.60
1986.75	21.06
1986.83	21.72
1986.92	21.49
1987.00	21.25
1987.08	22.09
1987.17	21.64
1987.25	21.03
1987.33	21.57
1987.42	20.70
1987.50	19.28
1987.58	19.75
1987.67	21.53
1987.75	22.65
1987.83	22.98
1987.92	21.15
1988.00	21.04
1988.08	22.69
1988.17	21.82
1988.25	21.41
1988.33	21.47
1988.42	21.10
1988.50	18.16
1988.58	17.21
1988.67	19.34
1988.75	22.66
1988.83	21.70
